Word,Singular,Plural
Time,Die Zeit,Die Zeiten
Man,Der Mann,Die Männer
Hand,Die Hand,Die Hände
Day,Der Tag,Die Tage
Way,Der Weg,Die Wege
Eye,Das Auge,Die Augen
Thing,Die Sache,Die Sachen
Head,Der Kopf,Die Köpfe
Year,Das Jahr,Die Jahre
Room,Das Zimmer,Die Zimmer
Door,Die Tür,Die Türen
Woman,Die Frau,Die Frauen
Face,Das Gesicht,Die Gesichter
Mother,Die Mutter,Die Mütter
People,Die Leute,-
Night,Die Nacht,Die Nächte
House,Das Haus,Die Häuser
Father,Der Vater,Die Väter
Life,Das Leben,Die Leben
Back,Der Rücken,Die Rücken
Voice,Die Stimme,Die Stimmen
Girl,Das Mädchen,Die Mädchen
Place,Der Ort,Die Orte
Boy,Der Junge,Die Jungen
Car,Das Auto,Die Autos
Side,Die Seite,Die Seiten
Arm,Der Arm,Die Arme
Child,Das Kind,Die Kinder
Word,Das Wort,Die Wörter
Moment,Der Moment,Die Momente
Hair,Das Haar,Die Haare
Foot,Der Fuß,Die Füße
Water,Das Wasser,-
Light,Das Licht,Die Lichter
World,Die Welt,Die Welten
Name,Der Name,Die Namen
Friend,Der Freund,Die Freunde
Window,Das Fenster,Die Fenster
Body,Der Körper,Die Körper
Table,Der Tisch,Die Tische
Morning,Der Morgen,Die Morgen
Bed,Das Bett,Die Betten
Wall,Die Wand,Die Wände
Street,Die Straße,Die Straßen
School,Die Schule,Die Schulen
Air,Die Luft,-
Floor,Der Boden,Die Böden
Hour,Die Stunde,Die Stunden
End,Das Ende,Die Enden
Family,Die Familie,Die Familien
Guy,Der Kerl,Die Kerle
Kind,Das Kind,Die Kinder
Minute,Die Minute,Die Minuten
Story,Die Geschichte,Die Geschichten
God,Der Gott,Die Götter
Week,Die Woche,Die Wochen
Work,Die Arbeit,-
Shoulder,Die Schulter,Die Schultern
Part,Der Teil,Die Teile
Mind,Der Verstand,-
Book,Das Buch,Die Bücher
Finger,Der Finger,Die Finger
Mouth,Der Mund,Die Münder
Kid,Das Kind,Die Kinder
Glass,Das Glas,Die Gläser
Tree,Der Baum,Die Bäume
Sound,Der Klang,Die Klänge
Line,Die Linie,Die Linien
Wife,Die Ehefrau,Die Ehefrauen
Heart,Das Herz,Die Herzen
Money,Das Geld,-
